0.2419 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
0.4838 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
0.7257 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
0.9676 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
1.2094 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
1.4513 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
1.6932 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
1.9351 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
2.1770 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
2.4189 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
2.6608 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
2.9027 1.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
3.1446 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
3.3865 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
3.6283 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
3.8702 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
4.1121 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
4.3540 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
4.5959 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
4.8378 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
5.0797 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
5.3216 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
5.5635 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
5.8054 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
6.0473 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
6.2891 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
6.5310 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
6.7729 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
7.0148 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
7.2567 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
7.4986 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
7.7405 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
7.9824 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
8.2243 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
8.4661 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
8.7080 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
8.9499 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
9.1918 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
9.4337 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
9.6756 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
9.9175 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
10.1594 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
10.4013 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
10.6432 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
10.8850 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
11.1269 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
11.3688 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
11.6107 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
11.8526 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
12.0945 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
12.3364 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
12.5783 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
12.8202 nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
